,January,February,March,April,May,June,July,August,September,October,November,December
釧路,-5,-5,-1,4,8,12,16,18,16,11,5,-2
旭川,-8,-8,-3,5,11,16,20,21,16,9,1,-5
札幌,-7,-6,-1,6,11,16,19,21,17,10,3,-4
青森,-2,-1,2,8,13,17,21,23,19,13,6,1
秋田,0,0,3,9,15,19,23,25,20,14,8,2
仙台,0,1,4,10,15,18,22,24,20,14,8,3
新潟,3,3,6,11,16,20,24,26,22,17,11,6
金沢,3,3,7,12,17,21,25,27,22,17,11,6
東京,6,6,9,15,19,22,26,27,24,18,13,8
宇都宮,0,1,5,11,16,20,24,25,21,14,8,3
長野,-1,0,4,11,16,20,24,25,21,14,8,2
名古屋,5,5,9,14,19,23,27,28,24,18,12,7
大阪,5,6,9,15,19,23,27,28,25,18,13,7
高松,6,6,9,15,19,23,27,28,24,19,13,8
松江,5,5,8,13,18,21,25,27,23,17,12,7
広島,4,5,8,14,19,23,27,28,24,18,12,7
高知,6,7,10,15,19,23,26,27,24,19,13,8
福岡,6,7,10,15,19,23,27,28,24,19,14,8
鹿児島,8,9,12,17,20,24,27,28,25,20,15,10
奄美,15,15,17,20,23,26,29,29,27,24,20,17
那覇,4,5,8,14,19,23,27,28,24,18,12,7
石垣,19,19,21,23,26,28,30,29,28,26,23,20
